Wall time,Step,Value
1697065249.394881,465,0.00019914648146368563
1697065273.90984,1132,8.10866549727507e-05
1697065303.5664225,1940,6.797080277465284e-05
1697065330.9098737,2693,0.0001451391144655645
1697065382.91004,4121,2.673290146049112e-05
1697065425.7888231,5295,2.6925885322270915e-05
1697065431.4282944,5454,2.3095417418517172e-05
1697065445.4306307,5832,1.5902567611192353e-05
1697065446.8284667,5866,1.4659850421594456e-05
1697065451.4970138,5997,1.4395335711014923e-05
1697065453.6434357,6053,1.6529707863810472e-05
1697065461.7206025,6279,2.4430453777313232e-05
1697065463.7666676,6334,4.8011770559241995e-05
1697065478.140158,6730,1.5688819985371083e-05
1697065482.3919442,6850,2.7321253583068028e-05
1697065487.492497,6991,1.1978732800344005e-05
1697065504.652955,7464,9.966886864276603e-06
1697065511.5018997,7644,1.6598482034169137e-05
1697065534.904809,8291,1.087533473764779e-05
1697065544.428155,8554,2.0446779672056437e-05
1697065549.5350096,8694,1.831734334700741e-05
1697065566.157336,9152,1.5899920981610194e-05
1697065569.826808,9252,8.861330570653081e-06
1697065586.4924648,9712,8.370379873667844e-06
1697065587.9705348,9753,1.0306748663424514e-05
1697065590.9098191,9837,8.61844455357641e-06
1697065595.0388327,9949,6.10441838944098e-06
1697065596.0389204,9979,5.707623131456785e-06
1697065603.7358057,10191,4.896843165624887e-06
1697065612.9372673,10445,4.7998555601225235e-06
1697065620.293464,10645,8.632000572106335e-06
1697065634.1293325,11023,5.784159839095082e-06
1697065637.5632787,11118,1.1909438399015926e-05
1697065663.0704336,11819,5.173082627152326e-06
1697065670.5873113,12027,4.955641088599805e-06
1697065682.7128277,12354,1.5310261005652137e-05
1697065687.040234,12476,3.239385478082113e-06
1697065702.4241073,12905,3.1260769901564345e-06
1697065717.1724331,13304,2.526661091906135e-06
1697065720.3285468,13388,2.700257482501911e-06
1697065725.2623563,13522,5.977254204481142e-06
1697065735.3470376,13802,2.8105932869948447e-06
1697065741.3931983,13971,3.2882096547837136e-06
1697065765.6265526,14645,3.963891231251182e-06
1697065773.035984,14851,2.469531409587944e-06
1697065791.7927754,15371,4.154572707193438e-06
1697065823.3604736,16241,2.5166518753394485e-06
1697065846.2604496,16866,1.1573423535082838e-06
1697065846.8079183,16883,1.1891904705407796e-06
1697065891.761698,18121,9.963886213881779e-07
1697065904.813668,18481,1.2535244877653895e-06
1697065931.6242023,19209,7.492352551707882e-07
1697065935.6504807,19319,1.238498271050048e-06
1697065937.6802258,19377,4.972478109266376e-06
1697065942.2303503,19501,8.771569355303654e-07
1697065943.9832442,19546,7.467521072612726e-07
1697065946.4561856,19617,1.454301354897325e-06
1697065982.7399487,20618,5.172767941985512e-06
1697065990.9330142,20841,8.047213668760378e-07
1697066006.30094,21267,5.41806969067693e-07
1697066038.4589412,22162,5.24269012203149e-07
1697066058.2961037,22702,3.878147936120513e-07
1697066122.2690666,24469,6.447000941989245e-07
1697066132.716484,24758,1.083411348190566e-06
1697066139.2955017,24938,5.207938329476747e-07
1697066141.1625817,24991,1.8827549865818582e-06
1697066173.167255,25444,4.3766397084255004e-07
1697066196.2382312,25649,2.957820015581092e-07
1697066227.9702759,25929,6.960070209061087e-07
1697066253.8131278,26646,3.363728637850727e-07
1697066277.496244,27308,2.728357344494725e-07
1697066299.0458446,27894,4.0904456000134815e-07
1697066376.509036,29310,2.0142346102147712e-07
1697066383.0068696,29490,7.968906174937729e-07
1697066385.6158884,29565,2.9008296564825287e-07
1697066388.3304164,29636,2.9002825385759934e-07
1697066389.7908797,29677,3.5017001209780574e-07
1697066404.0503416,30055,1.9089988256837387e-07
1697066404.9034586,30080,2.7026516136174905e-07
1697066413.167978,30300,1.6561628513045434e-07
1697066452.6294806,31376,5.725889877794543e-07
1697066454.0100923,31410,2.0783255649803323e-07
1697066474.1001232,31953,1.552322856923638e-07
1697066531.751131,32811,2.027714316454876e-07
1697066565.2443671,33701,1.463402554691129e-07
1697066569.102436,33803,1.142983592217206e-07
1697066571.4399862,33864,1.36267686912106e-07
1697066611.53332,34951,2.6126218699573656e-07
1697066612.065462,34967,1.3642412000081094e-07
1697066618.8551834,35140,2.481594663095166e-07
1697066631.2086935,35477,1.4912221502072498e-07
1697066633.9058733,35551,2.3710833829682088e-07
1697066639.4899547,35704,1.5604643976985244e-07
1697066647.9663339,35913,1.4014106852755503e-07
1697066676.6923914,36694,2.1813792727698456e-07
1697066683.7865512,36891,1.388707460137084e-07
1697066687.651106,36996,9.971408587716724e-08
1697066690.3026059,37065,2.7627743293123785e-07
1697066712.8032475,37674,4.637748247660056e-07
1697066715.5351458,37749,1.7711201394376985e-07
1697066738.526581,38386,1.589901899023971e-07
1697066738.5609965,38387,1.725887415204852e-07
1697066753.3909044,38805,1.5268646791355422e-07
1697066754.633478,38839,1.215920519825886e-07
1697066761.2351134,39025,1.7621213999063912e-07
1697066781.29492,39588,2.3827587369851244e-07
1697066785.7344146,39712,1.911658529252236e-07
1697066804.307656,40236,1.924545784959264e-07
1697066807.6935043,40332,3.450004442129284e-07
1697066815.0346131,40540,1.1316959813711946e-07
1697066817.785888,40617,1.1104273056616876e-07
1697066829.2624738,40942,9.721586735622623e-08
1697066848.2451038,41473,8.862776468276934e-08
1697066867.4001312,42012,2.2966297308357753e-07
1697066871.5597155,42131,8.03734820919999e-08
1697066883.3599901,42461,5.410104790826153e-07
1697066886.067353,42535,1.7424653719899652e-07
1697066910.7187357,43231,9.857330240947704e-08
1697066946.9710495,44255,1.5629694871677202e-07
1697066948.0019455,44283,1.8574564819573425e-07
1697066950.2991002,44349,7.889998698829004e-08
1697066954.4345198,44463,7.431002302382694e-08
1697066963.2317045,44711,7.958428227539116e-08
1697066963.6568332,44724,9.29077685896118e-08
1697066963.8527565,44730,1.0710051867590664e-07
1697067026.3568308,46492,8.596279599260015e-08
1697067040.4542563,46890,5.771922246822214e-07
1697067046.6652687,47063,6.699578136704076e-08
1697067046.7946498,47067,6.951607645078184e-08
1697067047.3238103,47083,6.58906031958395e-08
1697067050.6841812,47178,7.668188573006773e-08
1697067055.1910415,47304,7.844720784078163e-08
1697067066.5590882,47625,3.639963210844144e-07
1697067079.8186498,47999,9.277887613734492e-08
1697067086.5508301,48189,8.074830759596807e-08
1697067088.7069547,48247,7.373876087513054e-08
1697067121.130008,49165,6.3051331267161e-08
1697067126.4053972,49314,9.830462488480407e-08
1697067132.3907428,49483,1.2551835482099705e-07
1697067141.9682186,49752,1.125722874917301e-07
1697067175.5970955,50697,1.8809029711519543e-07
1697067214.6802459,51797,5.267065716907382e-08
1697067220.7767394,51971,5.756972853987463e-08
1697067222.4217482,52013,9.822372959433778e-08
1697067231.262851,52263,8.311161536767031e-08
1697067234.8163977,52364,8.930472006341006e-08
1697067236.0993075,52399,8.669988460496825e-08
1697067260.2944314,53082,1.1059907478738751e-07
1697067294.362594,54041,6.454489209772873e-08
1697067314.0378313,54592,9.640197617954982e-08
1697067320.134141,54766,8.141361718116968e-08
1697067333.7044375,55148,7.825212122725134e-08
1697067341.5251405,55367,5.157433946578749e-08
1697067346.2289617,55499,6.045982559044205e-08
1697067349.2927537,55586,5.514004541851136e-08
1697067350.7215376,55629,1.0730128252589566e-07
1697067353.9059086,55718,4.919064977570997e-08
1697067363.2931924,55982,1.0211187628783591e-07
1697067381.1858459,56481,6.517090156421546e-08
1697067397.7171037,56932,6.141289787819915e-08
1697067434.6572006,57944,5.80254635451638e-08
1697067451.4257374,58405,4.966400979355967e-08
1697067458.9724727,58615,5.898987609498363e-08
1697067460.2979999,58655,5.71706308960529e-08
1697067467.8510826,58865,8.16908993783727e-08
1697067518.1934106,60280,5.6036018492022777e-08
1697067523.5239441,60431,7.95056109836878e-08
1697067542.196794,60958,5.916003686934346e-08
1697067557.7905915,61398,5.1776822829197044e-08
1697067569.9344764,61742,1.231362460885066e-07
1697067575.6257021,61904,1.0122333549134055e-07
1697067591.199276,62344,8.756305192036962e-08
1697067592.6853065,62386,8.3711654497165e-08
1697067636.820167,63622,5.6060581954398e-08
1697067646.8471568,63905,5.881894082904182e-08
1697067653.4638424,64091,7.57149933861001e-08
1697067683.0664017,64928,4.917668050552493e-08
1697067700.360577,65417,8.058160005930404e-08
1697067711.2351935,65722,9.032377334960984e-08
1697067715.3993876,65841,6.946198993773578e-08
1697067716.0829628,65858,6.709346678235306e-08
1697067718.6552913,65933,1.7111136685343808e-07
1697067719.5364156,65956,1.2106337976547366e-07
1697067731.4554698,66292,5.4801112980840117e-08
1697067744.3417873,66652,5.747803655253847e-08
1697067744.730291,66664,7.200812035534909e-08
1697067745.3514905,66680,4.808035924952492e-08
1697067786.2722626,67834,5.6236274303955724e-08
1697067788.4880638,67898,5.0833776299441524e-08
1697067798.8163955,68188,6.91259458562854e-08
1697067812.995536,68587,4.770072692394933e-08
1697067814.1710567,68619,4.6603780390341853e-08
1697067821.4542687,68826,5.987971007925807e-08
1697067830.0032582,69066,6.808477337472141e-08
1697067844.041168,69460,8.138280804814713e-08
1697067876.1641564,70360,4.537196929277343e-08
1697067884.2647762,70588,4.2544911593722645e-08
1697067894.5232718,70875,1.0531893934739855e-07
1697067904.6561818,71159,9.889437535548495e-08
1697067908.1022408,71256,6.717432654568256e-08
1697067923.587233,71694,3.809496007534108e-08
1697067953.9683187,72550,7.114084610293503e-08
1697067986.0006118,73453,4.123909391751113e-08
1697068002.6554022,73922,4.170054523910949e-08
1697068012.2029474,74192,5.130800317942885e-08
1697068032.2139316,74756,1.1636110741619632e-07
1697068041.0016837,75005,3.79096078972907e-08
1697068044.676271,75110,5.713310713417741e-08
1697068046.0020115,75146,3.839151219153791e-08
1697068058.3608909,75497,7.347469477281265e-08
1697068060.8208795,75565,3.858323793792806e-08
1697068112.2592647,77012,5.100238453792372e-08
1697068133.3655937,77609,4.188102664670623e-08
1697068145.4315069,77950,6.322499501720813e-08
1697068150.3585079,78089,5.004971015409865e-08
1697068155.3295693,78229,5.14769205040011e-08
1697068184.812559,79060,4.27125712576526e-08
1697068188.9665658,79178,5.275187930919856e-08
1697068190.7822158,79230,5.79704462211339e-08
1697068202.2937403,79554,1.0206390754774475e-07
1697068234.9665854,80473,4.429889344237381e-08
1697068279.2186837,81721,5.4222404344272945e-08
1697068306.2955542,82482,1.9035925902244344e-07
1697068330.8526502,83176,6.177985767408245e-08
1697068336.235591,83324,3.17677084638035e-08
1697068352.969809,83795,3.9712013233383914e-08
1697068356.9099998,83904,6.848547684512596e-08
1697068370.247861,84281,5.577465600481446e-08
1697068390.7049012,84858,8.419988262176048e-08
1697068417.294885,85605,5.762310095747125e-08
1697068439.1615565,86222,3.743801357813936e-08
1697068445.5951562,86402,7.719008721096543e-08
1697068446.227241,86421,4.1468616984730033e-08
1697068454.627413,86658,4.14046716912253e-08
1697068463.032619,86894,3.9746041124999465e-08
1697068464.6287308,86939,6.370748195649867e-08
1697068491.1645062,87688,2.896836903687472e-08
1697068494.9773993,87794,4.326485836259053e-08
1697068498.9987404,87909,4.061946157207785e-08
1697068510.2408206,88224,3.621564914624287e-08
1697068521.906358,88557,5.738861830195674e-08
1697068531.6186957,88832,6.149085152173939e-08
1697068564.2654698,89753,2.9550761837526807e-08
1697068574.5219436,90044,1.212827243080028e-07
1697068579.1357741,90172,4.953725607492743e-08
1697068601.6486945,90806,2.7961764459405458e-08
1697068602.3099082,90822,3.856268193658252e-08
1697068623.457062,91420,4.5344286547788215e-08
1697068634.7588828,91737,3.9948101715481243e-08
1697068638.729244,91850,5.28101082863941e-08
1697068652.9381838,92253,4.698074462794466e-08
1697068653.4588954,92266,7.539539836898257e-08
1697068670.6942403,92751,1.0537947758848532e-07
1697068706.5981529,93759,3.8182932371455536e-08
1697068706.858178,93767,6.72035298521223e-08
1697068715.5738988,94013,5.277656356383886e-08
1697068731.8281987,94471,3.963661754369241e-08
1697068746.0363135,94873,6.768532756495915e-08
1697068753.461128,95084,3.850164986829441e-08
1697068758.9700587,95237,7.579594551998525e-08
1697068778.1342623,95778,6.158421683721826e-08
1697068880.3278887,98645,3.989883623489732e-08
1697068936.7542384,100240,3.9347494151797946e-08
1697068951.7520463,100658,6.631955784541788e-08
1697068956.5826979,100796,3.464862885493858e-08
1697068970.0078797,101175,4.974043577021803e-08
1697068974.9420002,101315,3.489364885922441e-08
1697069004.8596396,102161,4.3416427786269196e-08
1697069005.0352297,102166,3.317518348922022e-08
1697069007.934547,102247,6.49220481818702e-08
1697069017.1686025,102509,5.018292981162631e-08
1697069027.650891,102806,3.709107687654978e-08
1697069042.905597,103236,3.943684490081978e-08
1697069052.588314,103508,4.438980027998696e-08
1697069067.1708813,103917,7.068535978760337e-08
1697069082.23749,104340,4.2294427515798816e-08
1697069084.8572068,104413,1.6843968353441596e-07
1697069086.5927289,104462,1.1591148307843469e-07
1697069108.5290408,105077,3.984768071063627e-08
1697069116.3279796,105298,2.748147309716842e-08
1697069131.3929927,105722,3.053700936561654e-08
1697069134.1333945,105798,4.442702206119975e-08
1697069153.3597212,106341,5.813035031110303e-08
1697069158.3263886,106481,5.935438807114224e-08
1697069173.3030827,106901,5.7104411865793736e-08
1697069175.583973,106967,4.835648326206865e-08
1697069180.833251,107116,3.6760752664122265e-08
1697069187.1005077,107292,3.095410505693508e-08
1697069199.0327828,107625,5.513999212780618e-08
1697069204.555546,107782,4.546607001998382e-08
1697069207.6248877,107868,3.5844305301679924e-08
1697069210.6219769,107952,3.767925349507095e-08
1697069265.4016185,109499,3.9087392877945604e-08
1697069280.0064974,109914,3.5106033635656786e-08
1697069284.0340557,110026,3.626231404041391e-08
1697069284.7443316,110048,4.1781859749789874e-08
1697069319.2044265,111013,4.1641854409135703e-08
1697069328.206294,111265,3.366318779285393e-08
1697069329.9096136,111313,3.8231213750350435e-08
1697069330.9121058,111343,2.6645919248835526e-08
1697069369.1329172,112423,3.132301884534172e-08
1697069372.97089,112532,3.371327039758398e-08
1697069432.4049053,114204,4.4149480515898176e-08
1697069438.0037818,114363,3.8782236089218713e-08
1697069452.3997207,114769,3.394100644982245e-08
1697069473.3959606,115362,3.4689424666112245e-08
1697069475.6477528,115427,4.3900424628873225e-08
1697069483.0699809,115634,3.282262639459077e-08
1697069501.5878506,116159,7.231426479847869e-08
1697069504.9341104,116254,2.502983953434068e-08
1697069517.0421567,116594,4.454349067373187e-08
1697069517.1709425,116598,4.3262751603379e-08
1697069558.5612051,117764,3.979045715141183e-08
1697069587.4719183,118575,4.344805404343788e-08
1697069590.1289356,118652,3.8214984954265674e-08
1697069603.3556285,119025,4.296846256579556e-08
1697069609.6899366,119203,4.0615574903313245e-08
1697069620.4565072,119508,4.012270693465325e-08
1697069647.748572,120278,7.345299479766254e-08
1697069656.2746375,120512,3.5491162009293475e-08
1697069673.3942292,120994,4.839851541760254e-08
1697069693.8467577,121571,3.133643744490655e-08
1697069725.527138,122463,4.569343658999969e-08
1697069730.0050533,122591,3.427134487310468e-08
1697069732.0325174,122646,4.1807798112358796e-08
1697069741.128225,122905,4.17819556730592e-08
1697069754.4922378,123282,3.792177594164059e-08
1697069760.5198913,123454,3.932198566758416e-08
1697069786.3055596,124180,3.474473686537749e-08
1697069818.359215,125084,4.70987338019313e-08
1697069819.3259792,125110,3.2017585027688256e-08
1697069831.8415966,125464,3.643057766566926e-08
1697069843.5235903,125793,4.019430477342212e-08
1697069855.7233124,126139,3.717197927244342e-08
1697069908.068932,127611,3.5196755732158636e-08
1697069945.6252058,128664,2.7133699731507477e-08
1697069954.6938326,128922,7.14095733655995e-08
1697069967.5944083,129285,3.548774074602079e-08
1697069968.2666059,129305,3.154494976342903e-08
1697069969.2307997,129330,3.568153061905832e-08
1697069980.7546895,129654,3.172733897827129e-08
1697070028.6594107,131002,4.090966143621699e-08
1697070035.9667265,131209,3.063561493377165e-08
1697070064.367299,132004,6.752212300398241e-08
1697070087.3262906,132653,2.844589808148612e-08
1697070098.6307125,132971,4.879566617432829e-08
1697070106.0028818,133179,2.73055960064994e-08
1697070169.033445,134950,3.7113121464926735e-08
1697070170.966641,135005,3.829559247492398e-08
1697070174.4185233,135102,5.004149983278694e-08
1697070176.9098344,135169,3.6417119986253965e-08
1697070184.4875891,135383,3.013121485651027e-08
1697070225.6218002,136542,2.6163755606489758e-08
1697070241.196461,136980,4.902882722035429e-08
1697070274.154347,137909,2.997506953761331e-08
1697070276.4951496,137973,4.1946123019442894e-08
1697070282.0033154,138129,4.1019536212161256e-08
1697070284.8604605,138209,3.275097171240304e-08
1697070342.5285165,139830,3.845120488676912e-08
1697070357.066275,140238,5.5141597954389e-08
1697070360.7539794,140342,3.587979335861746e-08
1697070365.4999268,140475,6.302130373114778e-08
1697070395.6711104,141314,3.294989170399276e-08
1697070401.561895,141480,6.770913785203447e-08
1697070407.4569805,141644,3.0233795911271955e-08
1697070437.0668495,142457,5.596537278051983e-08
1697070488.4292629,143889,3.459659581039887e-08
1697070519.229352,144756,2.671344034865797e-08
1697070519.2621806,144757,2.5452337126807834e-08
1697070520.4263265,144789,3.782832180831974e-08
1697070555.3595634,145774,3.831610584370537e-08
1697070559.226336,145880,4.6804998987681756e-08
1697070593.0397723,146834,3.7982630374244764e-08
1697070594.4568484,146877,4.492608240980189e-08
1697070663.019527,148802,3.0941940565298864e-08
1697070702.9351804,149924,2.442023472326582e-08
1697070738.5586183,150913,6.667683294381277e-08
1697070744.1958356,151074,4.346689053136288e-08
1697070744.2933557,151077,3.9250082295438915e-08
1697070783.815903,152192,2.7490299814303398e-08
1697070788.1053898,152310,3.082782740193579e-08
1697070814.9042573,153066,4.41680612084383e-08
1697070818.7200036,153172,3.5964969669066704e-08
1697070821.7607012,153261,3.3991646830600075e-08
1697070825.695658,153370,4.514437179636843e-08
1697070855.55293,154209,2.9478794516535345e-08
1697070866.8286524,154525,3.1916503218099024e-08
1697070881.9365318,154951,2.9180808880369113e-08
1697070943.1404855,156632,3.535235748586274e-08
1697070947.374084,156748,2.997515835545528e-08
1697070976.3202977,157539,3.3486266204363346e-08
1697070984.2623966,157757,5.484660192678348e-08
1697071041.1944413,159308,3.094455180985278e-08
1697071060.0993674,159829,3.118624647413526e-08
1697071069.16928,160075,3.1249498988472624e-08
1697071084.6562443,160497,2.8886343983458573e-08
1697071092.97496,160722,2.3483671895974112e-08
1697071118.906793,161434,8.328271405844134e-08
1697071129.0006268,161710,3.8436319016454945e-08
1697071135.6224258,161893,4.168234823964667e-08
1697071136.6249423,161920,3.312937479904576e-08
1697071175.1403072,162974,4.948721255004784e-08
1697071175.8182535,162995,3.3189994752547136e-08
1697071229.291955,164462,3.11931103169627e-08
1697071239.9700227,164756,3.3856085934758084e-08
1697071248.3939948,164988,3.539894422033285e-08
1697071255.2990005,165177,5.485583898234836e-08
1697071269.4578226,165569,8.250904670603632e-08
1697071319.763536,166949,7.502035970219367e-08
1697071320.2339323,166963,1.161051415010661e-07
1697071327.202116,167151,3.103102130808111e-08
1697071335.4966052,167382,3.008861781950145e-08
1697071356.647873,167959,4.610333803611866e-08
1697071378.331772,168553,3.372473500462547e-08
1697071379.5058846,168584,3.749525134821852e-08
1697071380.9754972,168626,4.189596580772559e-08
1697071402.131032,169208,2.725242964629615e-08
1697071440.6487927,170268,2.2199028393288245e-08
1697071444.459599,170375,3.554840333208631e-08
1697071448.9498994,170496,3.13639638704899e-08
1697071456.6179392,170700,3.691544137041092e-08
1697071458.3029668,170747,3.5732881542571704e-08
1697071466.6994965,170976,3.174881157974596e-08
1697071472.4746165,171135,5.902885646946743e-08
1697071498.2922473,171847,3.291231820412577e-08
1697071521.6985521,172490,3.32467280372839e-08
1697071545.3651862,173138,6.615910308482853e-08
1697071548.7844048,173233,5.451738616102375e-08
1697071565.5438437,173694,3.4869415799221315e-08
1697071569.231111,173794,3.0573541920375646e-08
1697071586.1360545,174252,3.142641702424953e-08
1697071588.3014882,174312,3.508599633050835e-08
1697071592.438085,174424,3.3232208096478644e-08
1697071611.1322525,174932,2.693925083008253e-08
1697071614.7423577,175026,3.0993241750820744e-08
1697071641.3247232,175761,3.657329017414668e-08
1697071647.4363074,175929,3.1182260329387645e-08
1697071648.227923,175953,2.7150525383490276e-08
1697071654.3735867,176116,3.167757967048601e-08
1697071721.6176784,177965,4.838452483113542e-08
1697071721.9076107,177973,5.8411057324292415e-08
1697071732.0002716,178249,2.7430127502725554e-08
1697071738.8662415,178436,2.3997156262112185e-08
1697071744.0358624,178580,2.4774900353463636e-08
1697071744.359546,178590,4.274644993529364e-08
1697071760.2046776,179021,3.8076990449553705e-08
1697071763.2269967,179101,2.959239608912867e-08
1697071768.8321016,179254,2.4348722149625246e-08
1697071778.0326364,179505,2.87551706890099e-08
1697071784.045686,179668,2.8706532262390283e-08
1697071797.455819,180033,3.9513295746473887e-08
1697071844.0373056,181297,9.119179367189645e-08
1697071850.5771885,181478,2.6658780072352783e-08
1697071859.1138763,181709,4.2047386017429744e-08
1697071860.624856,181752,2.5593930530476428e-08
1697071878.6404197,182069,2.9344596086389174e-08
1697071954.6498647,183606,3.024128147899319e-08
1697071958.9387236,183724,3.0528767069881724e-08
1697072023.5252843,185500,5.425857807495049e-08
1697072034.7003279,185804,2.4056740599576187e-08
1697072036.2648854,185847,3.346779564594726e-08
1697072044.2284644,186066,2.7502746746677076e-08
1697072046.8394988,186139,3.9202866730647656e-08
1697072065.9059439,186668,2.5047681262435617e-08
1697072071.4138727,186819,1.2892850520529464e-07
1697072078.3720467,187011,3.0789347960080704e-08
1697072079.7516427,187051,4.1015923102349916e-08
1697072132.1008766,188491,3.548169758005315e-08
1697072146.4561846,188881,3.5999299541344953e-08
1697072149.2636473,188958,4.9398618529039595e-08
1697072171.293502,189565,2.994580938775471e-08
1697072190.1484601,190085,2.7451623196839137e-08
1697072202.7078812,190434,5.740253783415028e-08
1697072221.5979736,190944,3.291206951416825e-08
1697072239.8209302,191446,5.821564386110367e-08
1697072255.3631885,191875,3.40749153338038e-08
1697072278.2931333,192498,4.138199471981352e-08
1697072301.5840535,193140,6.187424617110082e-08
1697072312.5130088,193440,3.703524953380111e-08
1697072320.5212584,193667,3.5771385853422544e-08
1697072336.0006807,194092,4.389833918594377e-08
1697072340.797766,194223,1.0510052561585326e-07
1697072366.4313774,194927,4.308537526753753e-08
1697072367.489169,194956,4.2329421745535e-08
1697072376.3014743,195194,3.099734513511976e-08
1697072383.6113129,195396,3.1294959512706555e-08
1697072421.9701018,196445,4.115233309676114e-08
1697072423.3270206,196483,3.818147575884723e-08
1697072451.3842053,197256,6.312032496680331e-08
1697072487.4708438,198247,7.318118377952487e-08
1697072490.7634704,198338,6.477480951616599e-08
1697072500.2528908,198602,2.8013051434072622e-08
1697072523.9665577,199252,3.868731113243484e-08
1697072535.3621244,199567,2.7279302372562597e-08
1697072535.7558315,199579,3.2706807928661874e-08
1697072538.752359,199660,3.1452287885258556e-08
1697072539.1330376,199671,2.906948282088706e-08
1697072541.9685278,199746,3.4407253934887194e-08
1697072544.0007849,199804,3.676864679391656e-08
1697072555.5948899,200126,3.528137071384663e-08
1697072560.6148908,200265,7.956284520105328e-08
1697072570.0827286,200528,2.6403521147244646e-08
1697072595.7406073,201233,2.3344838950833946e-08
